epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1384,2.15683,5.03635,1.70913,0.61723,0.41026,0.50725,0.22474,1.85534,2.26029,1.37875,0.0829,0.0019,0.0019
2,44.6877,1.97737,2.46901,1.57955,0.7278,0.76923,0.74879,0.33481,1.58851,1.9424,1.33042,0.0648678,0.00386783,0.00386783
3,66.3884,1.69238,1.77714,1.47571,0.84508,0.83938,0.86378,0.4915,1.57169,1.22692,1.34638,0.0468027,0.00580265,0.00580265
4,87.1547,1.65915,1.72586,1.41331,0.55414,0.53846,0.61825,0.28266,1.70032,2.12222,1.4932,0.0287045,0.00770447,0.00770447
5,107.816,1.80762,1.89642,1.46803,0.90275,0.71414,0.83557,0.47868,1.61187,1.08837,1.24209,0.0105733,0.0095733,0.0095733
6,128.542,1.65095,3.68653,1.32715,0.90181,0.47127,0.58336,0.31106,1.75193,2.37329,1.2709,0.0095875,0.0095875,0.0095875
7,149.326,1.55874,2.11325,1.19241,0.70905,0.5641,0.60491,0.33565,1.76246,2.89525,1.31906,0.009505,0.009505,0.009505
8,170.031,1.69407,1.99156,1.28223,0.42624,0.12821,0.13381,0.08103,1.99347,3.02642,1.58105,0.0094225,0.0094225,0.0094225
9,190.659,1.6625,1.74165,1.31952,0.44245,0.5641,0.51064,0.27039,1.6814,1.85418,1.32549,0.00934,0.00934,0.00934
10,211.31,1.65189,1.76928,1.21754,0.7604,0.56979,0.69155,0.4281,1.54507,1.51504,1.19256,0.0092575,0.0092575,0.0092575
11,231.978,1.69163,1.52849,1.20563,0.56596,0.50169,0.52763,0.29566,1.62731,1.47691,1.23497,0.009175,0.009175,0.009175
12,252.987,1.57581,1.42741,1.18247,0.85159,0.66667,0.75655,0.38568,1.65196,2.49162,1.2691,0.0090925,0.0090925,0.0090925
13,274.201,1.52786,1.43551,1.18334,0.53678,0.46154,0.46209,0.26095,1.65064,1.6704,1.27718,0.00901,0.00901,0.00901
14,295.044,1.59313,1.33114,1.28981,0.66557,0.53846,0.57016,0.3717,1.56699,1.91196,1.33204,0.0089275,0.0089275,0.0089275
15,315.866,1.50583,1.54416,1.16304,0.92746,0.66667,0.78218,0.46202,1.55015,1.32265,1.26381,0.008845,0.008845,0.008845
16,336.842,1.53419,1.42502,1.21162,0.98511,0.46154,0.58591,0.35118,1.6122,1.86581,1.33254,0.0087625,0.0087625,0.0087625
17,358.033,1.59731,1.64664,1.26133,0.39507,0.41026,0.2901,0.15461,1.63976,3.61464,1.38276,0.00868,0.00868,0.00868
18,378.898,1.51962,1.33569,1.19306,0.77253,0.61538,0.72118,0.37399,1.61171,1.48162,1.32161,0.0085975,0.0085975,0.0085975
19,399.782,1.39017,1.31486,1.17035,0.71384,0.64103,0.72281,0.41592,1.63684,1.33536,1.25022,0.008515,0.008515,0.008515
20,420.636,1.48371,1.13698,1.2121,0.88578,0.5641,0.78927,0.45194,1.57478,1.21029,1.24998,0.0084325,0.0084325,0.0084325
21,441.626,1.45062,1.07509,1.17465,0.75606,0.5641,0.65513,0.3727,1.70939,1.33007,1.35815,0.00835,0.00835,0.00835
22,462.604,1.42476,1.06885,1.22626,0.61344,0.61538,0.61972,0.32332,1.80117,1.52432,1.42191,0.0082675,0.0082675,0.0082675
23,483.514,1.40743,1.14476,1.13199,0.57932,0.79487,0.63819,0.3198,1.75452,1.4604,1.36944,0.008185,0.008185,0.008185
24,504.378,1.47811,1.04716,1.17622,0.83125,0.75799,0.80939,0.39731,1.60533,1.359,1.26528,0.0081025,0.0081025,0.0081025
25,525.294,1.42458,1.1224,1.15751,0.70344,0.76923,0.73939,0.38509,1.79051,1.22525,1.29992,0.00802,0.00802,0.00802
26,546.292,1.38253,0.97827,1.16833,0.81394,0.66667,0.83502,0.44976,1.5885,1.13272,1.22637,0.0079375,0.0079375,0.0079375
27,567.496,1.45397,1.11012,1.18755,0.79316,0.78675,0.84057,0.44029,1.61361,1.16624,1.26507,0.007855,0.007855,0.007855
28,588.445,1.44296,1.14922,1.13894,0.78915,0.76777,0.85863,0.47565,1.56729,1.18131,1.23355,0.0077725,0.0077725,0.0077725
29,609.326,1.38511,0.98284,1.17851,0.74358,0.69231,0.76206,0.35103,1.72102,1.29067,1.31169,0.00769,0.00769,0.00769
30,630.256,1.33321,0.9446,1.17537,0.83691,0.65809,0.80311,0.45779,1.68177,1.16811,1.32578,0.0076075,0.0076075,0.0076075
31,651.1,1.41654,0.9884,1.1887,0.83045,0.74359,0.81129,0.43317,1.66295,1.0667,1.32896,0.007525,0.007525,0.007525
32,671.905,1.33509,0.94151,1.14419,0.76557,0.83748,0.88054,0.42853,1.70707,1.04441,1.38352,0.0074425,0.0074425,0.0074425
33,692.809,1.28997,0.94581,1.14887,0.87051,0.89744,0.92896,0.45526,1.6543,1.14023,1.35829,0.00736,0.00736,0.00736
34,713.867,1.4465,1.03548,1.14609,0.87756,0.91895,0.93388,0.46938,1.56955,0.87447,1.22426,0.0072775,0.0072775,0.0072775
35,734.771,1.41552,0.96561,1.17239,0.87801,0.92275,0.95327,0.49768,1.56843,0.82336,1.21334,0.007195,0.007195,0.007195
36,755.679,1.23689,0.8693,1.09815,0.79258,0.88192,0.92738,0.45433,1.68406,0.96266,1.28241,0.0071125,0.0071125,0.0071125
37,776.52,1.2365,0.87689,1.14702,0.83695,0.79487,0.92365,0.48246,1.66538,0.95394,1.31044,0.00703,0.00703,0.00703
38,797.938,1.26141,0.88593,1.12123,0.84966,0.66667,0.83434,0.46036,1.53086,1.11252,1.28026,0.0069475,0.0069475,0.0069475
39,818.851,1.40205,0.913,1.16487,0.86474,0.65595,0.82613,0.4003,1.79872,1.25569,1.46174,0.006865,0.006865,0.006865
40,840.05,1.35067,0.86303,1.16441,0.76394,0.74359,0.8057,0.43635,1.61962,1.27367,1.40245,0.0067825,0.0067825,0.0067825
41,861.224,1.31287,0.86654,1.14284,0.85551,0.75925,0.86897,0.43982,1.74482,1.16978,1.494,0.0067,0.0067,0.0067
42,882.939,1.31503,0.93762,1.18114,0.81583,0.69231,0.80012,0.3972,1.87876,1.22705,1.57836,0.0066175,0.0066175,0.0066175
43,904.697,1.31565,0.88632,1.18095,0.88104,0.76923,0.84506,0.41229,1.82082,1.07397,1.46807,0.006535,0.006535,0.006535
44,926.245,1.37263,0.90952,1.19033,0.70034,0.77918,0.81928,0.4489,1.5649,1.08534,1.34078,0.0064525,0.0064525,0.0064525
45,947.601,1.28814,0.88697,1.16437,0.83326,0.74359,0.85599,0.49575,1.59736,0.99386,1.35363,0.00637,0.00637,0.00637
46,969.462,1.38001,0.85979,1.17526,0.77905,0.61538,0.73352,0.416,1.57884,1.29253,1.32559,0.0062875,0.0062875,0.0062875
47,990.661,1.27599,0.85534,1.11649,0.72368,0.74359,0.77375,0.46153,1.58619,1.12666,1.31599,0.006205,0.006205,0.006205
48,1011.9,1.24806,0.84189,1.1139,0.68988,0.66667,0.69813,0.38572,1.66745,1.31461,1.35779,0.0061225,0.0061225,0.0061225
49,1033.98,1.24661,0.85286,1.13551,0.86416,0.65268,0.81629,0.4667,1.65545,1.15518,1.35943,0.00604,0.00604,0.00604
50,1056.12,1.25411,0.83995,1.12935,0.83633,0.82051,0.92122,0.50476,1.59258,0.87851,1.34859,0.0059575,0.0059575,0.0059575
51,1078.15,1.17301,0.77149,1.10533,0.90072,0.79487,0.91397,0.51715,1.62346,0.88738,1.31775,0.005875,0.005875,0.005875
52,1099.41,1.18228,0.75637,1.13317,0.88788,0.81238,0.8763,0.48839,1.73334,1.00878,1.41364,0.0057925,0.0057925,0.0057925
53,1120.51,1.19799,0.77548,1.07959,0.85908,0.84615,0.89347,0.4728,1.71852,0.96363,1.42039,0.00571,0.00571,0.00571
54,1141.78,1.20551,0.73202,1.12521,0.80326,0.83764,0.85526,0.47372,1.57849,1.01152,1.36964,0.0056275,0.0056275,0.0056275
55,1162.98,1.18411,0.75079,1.11275,0.85056,0.66667,0.78566,0.44518,1.70145,1.18784,1.4607,0.005545,0.005545,0.005545
56,1183.9,1.17653,0.82373,1.07916,0.83306,0.79487,0.8367,0.47632,1.64163,1.00937,1.39928,0.0054625,0.0054625,0.0054625
57,1204.95,1.18459,0.75443,1.14397,0.78458,0.76923,0.7849,0.47096,1.57149,1.12743,1.3263,0.00538,0.00538,0.00538
58,1226.02,1.15073,0.72489,1.1009,0.9209,0.76923,0.88965,0.51314,1.5382,0.98631,1.26467,0.0052975,0.0052975,0.0052975
59,1246.97,1.12818,0.70799,1.09786,0.96527,0.71287,0.86314,0.47458,1.68276,1.01535,1.31456,0.005215,0.005215,0.005215
60,1267.95,1.17249,0.74328,1.10087,0.83842,0.76923,0.86867,0.53969,1.5659,0.86901,1.29365,0.0051325,0.0051325,0.0051325
61,1288.9,1.11034,0.6931,1.10625,0.78163,0.84615,0.89993,0.51643,1.65649,0.92354,1.30797,0.00505,0.00505,0.00505
