epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,924.923,1.18934,0.75409,1.09434,0.96471,0.70121,0.78431,0.48354,1.72178,1.5708,1.44755,0.002905,0.002905,0.002905
45,945.277,1.17929,0.76017,1.1145,0.96629,0.73527,0.80261,0.48224,1.72959,1.41549,1.42417,0.00274,0.00274,0.00274
46,965.679,1.2079,0.70139,1.10567,0.90246,0.74359,0.77924,0.45093,1.76692,1.39001,1.43251,0.002575,0.002575,0.002575
47,986.025,1.13219,0.69988,1.07175,0.92249,0.71795,0.78647,0.44743,1.72199,1.40523,1.40301,0.00241,0.00241,0.00241
48,1006.47,1.15985,0.7383,1.07366,0.88052,0.75602,0.84098,0.47618,1.69632,1.19004,1.34889,0.002245,0.002245,0.002245
49,1026.87,1.14324,0.66782,1.09507,0.89117,0.82051,0.88279,0.51316,1.62402,1.0496,1.28169,0.00208,0.00208,0.00208
50,1047.27,1.14475,0.71013,1.08031,0.94957,0.87179,0.93031,0.5335,1.61415,0.91231,1.2799,0.001915,0.001915,0.001915
51,1067.69,1.0931,0.66133,1.03609,0.9599,0.84615,0.93211,0.54903,1.57136,0.84957,1.25101,0.00175,0.00175,0.00175
52,1087.95,1.0678,0.62604,1.03958,0.94408,0.86589,0.92595,0.53989,1.55541,0.83777,1.24279,0.001585,0.001585,0.001585
53,1108.31,0.95505,0.56544,0.99809,0.91192,0.89744,0.93183,0.53435,1.5543,0.80781,1.2326,0.00142,0.00142,0.00142
54,1128.63,0.96502,0.56164,1.0048,0.91994,0.89744,0.94273,0.52803,1.56701,0.80897,1.26548,0.001255,0.001255,0.001255
55,1148.93,0.98584,0.54703,0.98691,0.91186,0.89744,0.94825,0.5451,1.57143,0.78916,1.27027,0.00109,0.00109,0.00109
56,1169.27,0.96457,0.56322,0.97816,0.94529,0.88631,0.94708,0.5305,1.5992,0.79859,1.28731,0.000925,0.000925,0.000925
57,1189.66,1.00589,0.57255,1.04266,0.9162,0.89744,0.94564,0.52812,1.61979,0.80919,1.30806,0.00076,0.00076,0.00076
58,1211.32,0.95639,0.5179,1.01048,0.92087,0.89529,0.94143,0.5325,1.63787,0.85257,1.31614,0.000595,0.000595,0.000595
59,1233.65,0.98324,0.5325,1.01465,0.94594,0.8974,0.94695,0.52576,1.64712,0.85371,1.32309,0.00043,0.00043,0.00043
60,1255.71,0.9595,0.54997,1.00343,0.94432,0.89744,0.94751,0.53692,1.64141,0.84655,1.31597,0.000265,0.000265,0.000265
