epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,403.012,1.42708,1.3479,1.24525,0.78415,0.71795,0.80556,0.43775,1.62188,1.57331,1.40551,0.0083764,0.0083764,0.0083764
43,412.438,1.42356,1.27618,1.29085,0.62184,0.66667,0.66848,0.35545,1.70075,1.68644,1.4151,0.0083368,0.0083368,0.0083368
44,421.986,1.42792,1.37401,1.23555,0.3017,0.58974,0.27661,0.14221,1.71572,2.43874,1.40474,0.0082972,0.0082972,0.0082972
45,431.401,1.40556,1.3132,1.24776,0.8205,0.64103,0.72599,0.39065,1.6601,1.72839,1.40892,0.0082576,0.0082576,0.0082576
46,440.854,1.42609,1.2542,1.24254,0.65086,0.71702,0.64462,0.35862,1.57922,1.76399,1.3544,0.008218,0.008218,0.008218
47,450.305,1.37876,1.21541,1.18144,0.84419,0.5559,0.70303,0.32926,1.67871,1.82122,1.4251,0.0081784,0.0081784,0.0081784
48,459.761,1.37105,1.20225,1.19948,0.73796,0.69231,0.72788,0.3759,1.64706,1.67379,1.35958,0.0081388,0.0081388,0.0081388
49,469.206,1.36451,1.20297,1.206,0.79435,0.58974,0.65533,0.30105,1.85053,1.85514,1.531,0.0080992,0.0080992,0.0080992
50,478.684,1.3732,1.2196,1.18789,0.86835,0.66667,0.80967,0.44881,1.74275,1.57041,1.42941,0.0080596,0.0080596,0.0080596
51,488.092,1.33544,1.18685,1.17164,0.67746,0.82051,0.79689,0.44823,1.62367,1.46908,1.35587,0.00802,0.00802,0.00802
52,497.56,1.33154,1.15033,1.22531,0.8369,0.84615,0.87498,0.45024,1.69166,1.41776,1.38105,0.0079804,0.0079804,0.0079804
53,506.952,1.2744,1.16331,1.13063,0.75884,0.80699,0.8333,0.41696,1.69923,1.46154,1.36935,0.0079408,0.0079408,0.0079408
54,516.397,1.36694,1.09246,1.1965,0.75948,0.80979,0.808,0.48967,1.55933,1.42816,1.28898,0.0079012,0.0079012,0.0079012
