0,0,0,0
0.02,-24.766,-0.027125,0.020065
0.04,-25.014,-0.017085,0.0178
0.06,-24.888,-0.024168,0.03093
0.08,-25.032,-0.024245,0.01446
0.1,-24.864,-0.030945,-0.00062881
0.12,-25.21,-0.033037,0.024941
0.14,-24.638,-0.035571,0.016763
0.16,-25.056,-0.038892,0.016245
0.18,-25.07,-0.027585,0.014652
0.2,-24.997,-0.023785,0.012118
0.22,-24.619,-0.031694,0.019412
0.24,-24.831,-0.032365,0.0084512
0.26,-25.002,-0.032404,0.021678
0.28,-25.025,-0.034707,0.011177
0.3,-24.698,-0.023612,0.01229
0.32,-25.311,-0.0301,0.016111
0.34,-25.025,-0.02269,0.0031721
0.36,-24.802,-0.030311,0.020238
0.38,-24.645,-0.033421,0.031737
0.4,-24.798,-0.0097327,0.020065
0.42,-24.798,-0.032327,0.020372
0.44,-24.828,-0.030542,0.026131
0.46,-24.916,-0.02843,0.016917
0.48,-24.949,-0.041945,0.028281
0.5,-25.042,-0.025935,0.018606
0.52,-24.758,-0.03225,0.015516
0.54,-25.044,-0.043423,0.015784
0.56,-25.405,-0.033248,0.013327
0.58,-24.786,-0.029332,0.030412
0.6,-24.653,-0.038969,0.017474
0.62,-24.808,-0.02532,0.013865
0.64,-25.228,-0.033517,0.018741
0.66,-24.358,-0.03177,0.024269
0.68,-24.792,-0.043403,0.016974
0.7,-24.938,-0.021884,0.028204
0.72,-24.672,-0.029294,0.023521
0.74,-24.39,-0.039814,0.023521
0.76,-24.775,-0.040889,0.0031337
0.78,-24.796,-0.012689,0.025479
0.8,-24.838,-0.04373,0.021754
0.82,-25.037,-0.026031,0.015343
0.84,-25.201,-0.041407,0.013097
0.86,-24.932,-0.018256,0.012233
0.88,-24.934,-0.027125,0.014095
0.9,-24.695,-0.028526,0.029817
0.92,-24.763,-0.021673,0.017416
0.94,-24.775,-0.032193,0.022234
0.96,-24.685,-0.028718,0.022004
0.98,-24.926,-0.02246,0.011868
1,-24.84,-0.011422,0.023828
1.02,-24.876,-0.030043,0.022426
1.04,-24.686,-0.029716,0.013615
